model,barrier_type,monitoring_freq,N,price,runtime_ms
CGMY,up-and-out,12,1024,26.17416029444317,34.69967842102051
CGMY,up-and-out,12,2048,26.14744555160011,105.17096519470215
CGMY,up-and-out,12,4096,26.134090279463763,398.1649875640869
CGMY,up-and-out,12,8192,26.127413168457842,1485.1551055908203
CGMY,up-and-out,12,16384,26.124074744230125,6419.382095336914
CGMY,up-and-out,252,1024,26.17416029444317,427.89316177368164
CGMY,up-and-out,252,2048,26.14744555160011,1243.45064163208
CGMY,up-and-out,252,4096,26.134090279463763,2343.189239501953
CGMY,up-and-out,252,8192,26.127413168457842,6163.935661315918
CGMY,up-and-out,252,16384,26.124074744230125,19913.713932037354
